Work_per_GPU,one_TFLOPss,two_TFLOPss,four_TFLOPss
0.0625,,,1.4831449508908798
0.125,,2.697501021566116,2.8924255498839235
0.25,3.0207454672326906,5.124685356330102,5.563945439655962
0.5,5.967228354827062,7.954082869264383,7.39723491218883
1.0,9.815701649963676,10.495403603588082,8.705530556787352
2.0,12.187118735987585,12.41550135870203,9.666312573892714
4.0,13.627229046407741,13.511166842172267,10.65122550973351
8.0,14.639417931752327,15.045909418845088,11.062981206289242
16.0,15.68064128833574,15.60930875761487,11.990771574498162
