index,epoch,rollout_time,msl,u10,v10,t2m,z1000,z925,z850,z700,z600,z500,z400,z300,z250,z200,z150,z100,z50,q1000,q925,q850,q700,q600,q500,q400,q300,q250,q200,q150,q100,q50,t1000,t925,t850,t700,t600,t500,t400,t300,t250,t200,t150,t100,t50,u1000,u925,u850,u700,u600,u500,u400,u300,u250,u200,u150,u100,u50,v1000,v925,v850,v700,v600,v500,v400,v300,v250,v200,v150,v100,v50
0,0.0,0.0,116.63473510742188,1.3712958097457886,1.3676787614822388,1.0896397829055786,0.0,0.0,94.2657699584961,0.0,0.0,135.51052856445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1078159809112549,0.0,0.0,0.4163092076778412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2632122039794922,0.0,0.0,0.9740604162216187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2059781551361084,0.0,0.0,2.895418405532837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115525245666504,0.0,0.0,2.7279927730560303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,86.32051849365234,1.1510664224624634,1.1610755920410156,0.908125638961792,0.0,0.0,66.15702056884766,0.0,0.0,90.27336120605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0172148942947388,0.0,0.0,0.3771094083786011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0384249687194824,0.0,0.0,0.7825090289115906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8905909061431885,0.0,0.0,2.483518123626709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8103420734405518,0.0,0.0,2.3320887088775635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,0.0,75.83810424804688,1.0471704006195068,1.0457948446273804,0.8372165560722351,0.0,0.0,57.011505126953125,0.0,0.0,75.95915985107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960454523563385,0.0,0.0,0.35613006353378296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615846276283264,0.0,0.0,0.7105738520622253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7380164861679077,0.0,0.0,2.2664988040924072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6620259284973145,0.0,0.0,2.144120216369629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,72.5576400756836,0.9847056865692139,0.9901325106620789,0.8187841176986694,0.0,0.0,52.76259994506836,0.0,0.0,68.17723083496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9220379590988159,0.0,0.0,0.3419345021247864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9200344681739807,0.0,0.0,0.6780896186828613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.647435188293457,0.0,0.0,2.1359758377075195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5891094207763672,0.0,0.0,2.0413968563079834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4.0,0.0,67.84896087646484,0.9544896483421326,0.9573661088943481,0.7876577973365784,0.0,0.0,50.08484649658203,0.0,0.0,65.196044921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8991153836250305,0.0,0.0,0.33238983154296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8893970847129822,0.0,0.0,0.6543292999267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5969130992889404,0.0,0.0,2.0620365142822266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5465809106826782,0.0,0.0,1.9795310497283936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5.0,0.0,68.2768783569336,0.9376352429389954,0.9383053183555603,0.7830103635787964,0.0,0.0,49.87900924682617,0.0,0.0,64.81802368164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8784372210502625,0.0,0.0,0.3254622519016266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8705005049705505,0.0,0.0,0.6397243738174438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.570807933807373,0.0,0.0,2.015432596206665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5129728317260742,0.0,0.0,1.9431425333023071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6.0,0.0,65.48934936523438,0.9219002723693848,0.9239673614501953,0.7704507112503052,0.0,0.0,48.18882369995117,0.0,0.0,62.666500091552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8653439283370972,0.0,0.0,0.32189419865608215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.853238046169281,0.0,0.0,0.6287153959274292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5473734140396118,0.0,0.0,1.9854490756988525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4904625415802002,0.0,0.0,1.9105783700942993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7.0,0.0,64.89754486083984,0.9139720797538757,0.9178870320320129,0.7800873517990112,0.0,0.0,47.62593460083008,0.0,0.0,63.4837646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8574528694152832,0.0,0.0,0.31808075308799744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8466789722442627,0.0,0.0,0.6288918852806091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5341084003448486,0.0,0.0,1.9802935123443604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4771291017532349,0.0,0.0,1.899179458618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8.0,0.0,64.31280517578125,0.9018492698669434,0.907171905040741,0.7548916339874268,0.0,0.0,47.615142822265625,0.0,0.0,60.6651611328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8489992022514343,0.0,0.0,0.3163759112358093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8320515751838684,0.0,0.0,0.6143758893013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5138951539993286,0.0,0.0,1.9551366567611694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.465626835823059,0.0,0.0,1.8777148723602295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9.0,0.0,63.793060302734375,0.8948096036911011,0.8997426629066467,0.753280758857727,0.0,0.0,46.888160705566406,0.0,0.0,59.20238494873047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.842392086982727,0.0,0.0,0.3130723834037781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8247483968734741,0.0,0.0,0.6061313152313232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5043941736221313,0.0,0.0,1.932751178741455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4545514583587646,0.0,0.0,1.8747282028198242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
