,epoch,rollout_time,msl,u10,v10,t2m,z1000,z925,z850,z700,z600,z500,z400,z300,z250,z200,z150,z100,z50,q1000,q925,q850,q700,q600,q500,q400,q300,q250,q200,q150,q100,q50,t1000,t925,t850,t700,t600,t500,t400,t300,t250,t200,t150,t100,t50,u1000,u925,u850,u700,u600,u500,u400,u300,u250,u200,u150,u100,u50,v1000,v925,v850,v700,v600,v500,v400,v300,v250,v200,v150,v100,v50
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9512041807174683,0.0,0.0,0.9633198380470276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9456796646118164,0.0,0.0,0.9597283601760864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9634281396865845,0.0,0.0,0.973039984703064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9590471982955933,0.0,0.0,0.9692730903625488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679953455924988,0.0,0.0,0.9763550162315369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9641973376274109,0.0,0.0,0.9730643630027771,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9698948860168457,0.0,0.0,0.9779976010322571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9661246538162231,0.0,0.0,0.974768877029419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9712287187576294,0.0,0.0,0.9788194894790649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9674258828163147,0.0,0.0,0.9755582809448242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9719559550285339,0.0,0.0,0.9794063568115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96844482421875,0.0,0.0,0.976348340511322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9723789095878601,0.0,0.0,0.979892373085022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9688863754272461,0.0,0.0,0.9767211675643921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9726609587669373,0.0,0.0,0.9800422191619873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9693462252616882,0.0,0.0,0.9770427346229553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973039984703064,0.0,0.0,0.9802801609039307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9695948958396912,0.0,0.0,0.9773407578468323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9734964370727539,0.0,0.0,0.9805847406387329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9700380563735962,0.0,0.0,0.9775278568267822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973659098148346,0.0,0.0,0.9805442094802856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705447554588318,0.0,0.0,0.9778680801391602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973755955696106,0.0,0.0,0.9808714389801025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9706260561943054,0.0,0.0,0.9778628945350647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9740782976150513,0.0,0.0,0.9810645580291748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9708858728408813,0.0,0.0,0.978071391582489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974001944065094,0.0,0.0,0.9809564352035522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9708170890808105,0.0,0.0,0.9782236218452454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9741769433021545,0.0,0.0,0.9810470938682556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9710592031478882,0.0,0.0,0.9782571196556091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743138551712036,0.0,0.0,0.9812418222427368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711702466011047,0.0,0.0,0.9784863591194153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743205904960632,0.0,0.0,0.9810378551483154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9712108969688416,0.0,0.0,0.9784371852874756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9745693206787109,0.0,0.0,0.981437623500824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713076949119568,0.0,0.0,0.9785128235816956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746591448783875,0.0,0.0,0.9814658164978027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9715760350227356,0.0,0.0,0.9787853956222534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
