,epoch,rollout_time,msl,u10,v10,t2m,z1000,z925,z850,z700,z600,z500,z400,z300,z250,z200,z150,z100,z50,q1000,q925,q850,q700,q600,q500,q400,q300,q250,q200,q150,q100,q50,t1000,t925,t850,t700,t600,t500,t400,t300,t250,t200,t150,t100,t50,u1000,u925,u850,u700,u600,u500,u400,u300,u250,u200,u150,u100,u50,v1000,v925,v850,v700,v600,v500,v400,v300,v250,v200,v150,v100,v50
0,0.0,0.0,0.993868887424469,0.961604654788971,0.9616073369979858,0.9854269623756409,0.0,0.0,0.9943455457687378,0.0,0.0,0.997097909450531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9092029333114624,0.0,0.0,0.9276021122932434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9810945987701416,0.0,0.0,0.9861850738525391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.9960113763809204,0.972419798374176,0.9724546074867249,0.9892720580101013,0.0,0.0,0.9964158535003662,0.0,0.0,0.9984540343284607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9263786673545837,0.0,0.0,0.9418503046035767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9854419231414795,0.0,0.0,0.9896695613861084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,0.0,0.9967040419578552,0.9758812785148621,0.975466787815094,0.9896897077560425,0.0,0.0,0.9970719814300537,0.0,0.0,0.9988059401512146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9326633810997009,0.0,0.0,0.9470865726470947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986838161945343,0.0,0.0,0.9908326268196106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.9970559477806091,0.9771565794944763,0.9769048690795898,0.9904596209526062,0.0,0.0,0.997432291507721,0.0,0.0,0.9990030527114868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9362991452217102,0.0,0.0,0.949965238571167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9875137209892273,0.0,0.0,0.9914427399635315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4.0,0.0,0.9971365928649902,0.9780181646347046,0.9777361750602722,0.9908055663108826,0.0,0.0,0.9975477457046509,0.0,0.0,0.9991365671157837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9379909634590149,0.0,0.0,0.9517194032669067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9879586696624756,0.0,0.0,0.9918032884597778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5.0,0.0,0.997307538986206,0.9785475134849548,0.9782706499099731,0.9908597469329834,0.0,0.0,0.997693657875061,0.0,0.0,0.9991776347160339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9395901560783386,0.0,0.0,0.9525786638259888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9881985783576965,0.0,0.0,0.9919726848602295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6.0,0.0,0.9973403215408325,0.9790664911270142,0.9788846373558044,0.9909504055976868,0.0,0.0,0.9976304769515991,0.0,0.0,0.999140739440918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.940586507320404,0.0,0.0,0.9534934759140015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884321093559265,0.0,0.0,0.9921439290046692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7.0,0.0,0.9973263740539551,0.9792060852050781,0.9788258671760559,0.991101086139679,0.0,0.0,0.9977195262908936,0.0,0.0,0.9991897940635681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9410565495491028,0.0,0.0,0.9539844393730164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9883346557617188,0.0,0.0,0.9921403527259827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8.0,0.0,0.9975380301475525,0.9795835018157959,0.9793050289154053,0.9912651777267456,0.0,0.0,0.9979034662246704,0.0,0.0,0.9992764592170715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9419005513191223,0.0,0.0,0.9543564319610596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9886353611946106,0.0,0.0,0.9922434091567993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9.0,0.0,0.9974721074104309,0.9798129200935364,0.9795653223991394,0.991187334060669,0.0,0.0,0.9978548884391785,0.0,0.0,0.9992743730545044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9425473213195801,0.0,0.0,0.9548276662826538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9887911081314087,0.0,0.0,0.9923990964889526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
